macro_region,Ag_HDW,Ag_SF,Ag_AVG
Argentina,4.58095111412263,0.0,2.290475557061315
Australia_NZ,4.336933153800549,0.0,2.1684665769002747
Brazil,7.124410771436776,0.0,3.562205385718388
Canada,1.6290044076787538,0.0,0.8145022038393769
China,3.5580196211957107,0.0,1.7790098105978553
EU-15,6.491519191084674,0.0,3.245759595542337
EU-27,7.502121534034817,0.0,3.7510607670174085
Europe_Non_EU,17.286128540351207,0.0,8.643064270175604
India,7.849972202026471,0.0,3.9249861010132356
Indonesia,8.649563711173245,0.0,4.324781855586623
Japan,5.757242964811314,0.0,2.878621482405657
Mexico,5.4607127492378265,0.0,2.7303563746189132
Other,9.11112557156816,0.0,4.55556278578408
Russia,1.4197901926243524,0.0,0.7098950963121762
South Africa,6.348031935832794,0.0,3.174015967916397
South Korea,9.137684186264877,0.0,4.568842093132439
USA,3.7281823692333447,0.0,1.8640911846166723
