macro_region,Agriculture,Mining,Consumer Goods,Heavy Industries,Equipment Goods,Electricity production,Construction,Transport,Warehousing,Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.10811079408559075,0.06398013066223063,0.0,0.00029471085008091,0.00010314879752831851,0.0003209164287522519,0.3205358541955437,0.0002228775032949383,0.0006686325098848148,0.011109110116961644
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,5.0600458359418745,1.3355810145491456,0.0,0.7947848592196703,0.2781747007268846,0.6584937864924655,6.752475994050572,0.026165235545559332,0.078495706636678,0.27492730684930966
China,4.402403058770118,1.610853816419199,0.0,0.37059518802588803,0.1297083158090608,0.3783541740843606,8.653572126568697,0.21028176999042167,0.630845309971265,0.6890391760507097
India,10.704266190724717,5.057367897229088,0.0,0.5078649537800017,0.1777527338230006,0.5043590032006563,25.99619359503133,0.248896178556448,0.746688535669344,1.3406870066510772
South Korea,7.29758826754502,1.023103786197852,0.0,1.5492873345957627,0.5422505671085169,1.2958350547566237,5.357640138724648,0.08495480973171433,0.254864429195143,0.34042691716307066
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,9.763143511556681,2.873655577020717,0.0,0.471724072198456,0.1651034252694596,0.9833243191176995,19.103101583557848,1.6613416485804446,4.984024945741334,3.8016258933310088
South Africa,6.580404755104276,0.37913721455336324,0.0,0.6781997439496908,0.2373699103823918,1.1973289770900362,6.989790741277087,1.7874051468457088,5.362215440537127,3.6379998294503113
Argentina,5.447009981714859,0.725987822261964,0.0,0.40150716209264,0.140527506732424,0.8376134536207116,7.665190286444286,1.415877605310339,4.247632815931017,2.952753180997672
Indonesia,13.274387095438827,6.650218399289504,0.0,0.43083605806380515,0.15079262032233182,0.47474688823071465,34.224030069542046,0.3413817800331677,1.024145340099503,1.791133293281253
Other,8.222085661765018,2.1971847942619,0.0,1.13658270097344,0.39780394534070396,1.032982085020842,11.815375931847607,0.2910357756274054,0.8731073268822162,0.9482690169651273
