macro_region,Power Supply,Ferrous metals,Non-metallic minerals,Construction,Land transport,Water transport,Warehousing,Agriculture,Market Services,Non Market Services
USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU-27,0.01144622765391689,0.010301604888525261,0.010301604888525261,0.0,0.01144622765391689,0.01144622765391689,0.01144622765391689,0.0,0.0,0.0
Europe_Non_EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.611382795973797,0.550244516376418,0.550244516376418,0.0,0.611382795973797,0.611382795973797,0.611382795973797,0.0,0.0,0.0
China,3.265256760916025,2.938731084824422,2.938731084824422,0.0,3.265256760916025,3.265256760916025,3.265256760916025,0.0,0.0,0.0
India,5.390825702383115,4.851743132144803,4.851743132144803,0.0,5.390825702383115,5.390825702383115,5.390825702383115,0.0,0.0,0.0
South Korea,1.583250582905996,1.424925524615396,1.424925524615396,0.0,1.583250582905996,1.583250582905996,1.583250582905996,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2.3574075116989293,2.121666760529036,2.121666760529036,0.0,2.3574075116989293,2.3574075116989293,2.3574075116989293,0.0,0.0,0.0
South Africa,0.949441471313181,0.854497324181863,0.854497324181863,0.0,0.949441471313181,0.949441471313181,0.949441471313181,0.0,0.0,0.0
Argentina,2.9583545523078665,2.6625190970770802,2.6625190970770802,0.0,2.9583545523078665,2.9583545523078665,2.9583545523078665,0.0,0.0,0.0
Indonesia,4.623789667537331,4.1614107007836,4.1614107007836,0.0,4.623789667537331,4.623789667537331,4.623789667537331,0.0,0.0,0.0
Other,2.0483722229751207,1.8435350006776083,1.8435350006776083,0.0,2.0483722229751207,2.0483722229751207,2.0483722229751207,0.0,0.0,0.0
