NGFS_sector_raw,Proposed_10cat
Advanced Electric Appliances,
Advanced Heating and Cooking Appliances,
Agriculture,Agriculture
Air transport,Transport
Basic pharmaceutical products,Heavy Industries
Batteries,
Biofuels,
Biomass,Agriculture
Biomass Solid,Agriculture
CCS coal,Mining
CO2 Capture,
CSS Bio,
CSS Gas,
Chemical Products,Heavy Industries
Clean Gas,
Coal,Mining
Coal fired,Mining
"Computer, electronic and optical products",Equipment Goods
Construction,Construction
Consumer Goods Industries,
Crude Oil,Mining
EV Transport Equipment,Equipment Goods
Equipment for CCS power technology,Electricity production
Equipment for PV panels,Equipment Goods
Equipment for wind power technology,Electricity production
Fabricated Metal products,Heavy Industries
Ferrous metals,Heavy Industries
Gas,
Gas Fired,
Geothermal,Electricity production
Hydro electric,Electricity production
Hydrogen,Electricity production
Land transport,Transport
Market Services,
Non Market Services,
Non-ferrous metals,Heavy Industries
Non-metallic minerals,Heavy Industries
Nuclear,Electricity production
Oil,
Oil Fired,
Other Equipment Goods,
PV,Equipment Goods
"Paper products, publishing",Consumer Goods
Power Supply,Electricity production
R&D,
Rubber and plastic products,Heavy Industries
Transport equipment (excluding EV),Equipment Goods
Warehousing,Warehousing
Water transport,Transport
Wind,Equipment Goods
